A B C D
1 49.784 2.667 61.2648
2 49.9872 2.413 31.5722
3 24.6634 2.6924 60.8838
4 24.9682 2.5146 30.9626
5 2.4638 24.8666 60.4774
6 2.4892 25.4762 30.1752
7 2.7178 49.8856 60.6806
8 2.5146 50.5714 30.2768
9 24.8666 73.66 60.6806
10 25.273 73.8124 30.1752
11 50.673 73.6346 60.579
12 50.5714 73.8378 30.1752
13 73.6346 50.673 60.579
14 73.66 50.673 30.2768
15 73.66 25.4762 61.087
16 73.6092 25.0698 30.2768
17 25.5778 50.673 2.3876
18 25.5778 25.1714 2.4892
19 50.673 50.0634 2.6416
20 50.7746 24.9682 2.3114
21 25.4762 25.6286 88.9
22 50.9778 50.673 88.6968
23 50.8762 25.3746 89.1032
24 25.5778 50.9778 89.0016
